Name,Year,Duration,Rating,Reviews
The Incredibles,2004,1h 55m,8.0,(878K)
The Exorcist,1973,2h 2m,8.1,(489K)
Hachi: A Dog's Tale,2009,1h 33m,8.1,(335K)
Rush,2013,2h 3m,8.1,(548K)
The Wizard of Oz,1939,1h 42m,8.1,(458K)
Stand by Me,1986,1h 29m,8.1,(475K)
The Iron Giant,1999,1h 26m,8.1,(252K)
The Passion of Joan of Arc,1928,1h 54m,8.1,(67K)
My Father and My Son,2005,1h 52m,8.2,(99K)
The Handmaiden,2016,2h 25m,8.1,(195K)
Network,1976,2h 1m,8.1,(183K)
The Battle of Algiers,1966,2h 1m,8.1,(73K)
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,8.2,(94K)
The Grapes of Wrath,1940,2h 9m,8.1,(107K)
To Be or Not to Be,1942,1h 39m,8.1,(48K)
Gangs of Wasseypur,2012,5h 21m,8.2,(111K)
Drishyam,2015,2h 43m,8.2,(105K)
The Help,2011,2h 26m,8.1,(521K)
